User_ID,Gender,Age,Height,Weight,Duration,Heart_Rate,Body_Temp,Calories
14733363,1,68,190.0,94.0,29.0,105.0,40.8,231.0
14861698,0,20,166.0,60.0,14.0,94.0,40.3,66.0
11179863,1,69,179.0,79.0,5.0,88.0,38.7,26.0
16180408,0,34,179.0,71.0,13.0,100.0,40.5,71.0
17771927,0,27,154.0,58.0,10.0,81.0,39.8,35.0
15130815,0,36,151.0,50.0,23.0,96.0,40.7,123.0
19602372,0,33,158.0,56.0,22.0,95.0,40.5,112.0
11117088,1,41,175.0,85.0,25.0,100.0,40.7,143.0
12132339,1,60,186.0,94.0,21.0,97.0,40.4,134.0
17964668,0,26,146.0,51.0,16.0,90.0,40.2,72.0
13723164,0,36,177.0,76.0,1.0,74.0,37.8,3.0
13681290,0,21,157.0,56.0,17.0,100.0,40.0,92.0
15566424,1,66,171.0,79.0,11.0,90.0,40.0,58.0
12891699,0,32,157.0,54.0,18.0,93.0,40.4,88.0
13823829,1,53,182.0,85.0,2.0,82.0,38.1,7.0
17557348,0,39,156.0,62.0,28.0,104.0,40.8,170.0
12198133,1,39,182.0,82.0,4.0,82.0,38.6,11.0
15236104,1,46,169.0,67.0,11.0,89.0,40.2,43.0
11042324,0,27,171.0,65.0,4.0,85.0,38.6,15.0
16864285,1,50,188.0,86.0,14.0,94.0,40.2,74.0
11674347,1,67,189.0,93.0,8.0,77.0,39.2,29.0
19797300,0,31,148.0,50.0,8.0,84.0,39.5,32.0
14711095,0,33,157.0,60.0,3.0,80.0,38.7,10.0
14434854,0,20,165.0,59.0,29.0,100.0,41.0,155.0
14893804,1,48,182.0,85.0,1.0,80.0,37.7,3.0
17231597,1,29,176.0,75.0,10.0,83.0,39.7,24.0
10901446,1,33,173.0,73.0,7.0,78.0,39.3,12.0
15874362,1,42,190.0,88.0,3.0,83.0,38.9,10.0
15569252,0,62,159.0,59.0,29.0,106.0,41.2,195.0
15615743,1,38,171.0,75.0,2.0,81.0,38.2,5.0
13363046,1,20,183.0,88.0,16.0,97.0,40.5,69.0
17572853,0,25,160.0,59.0,24.0,102.0,40.3,136.0
17157339,0,24,165.0,59.0,18.0,91.0,40.2,80.0
18328111,0,42,165.0,68.0,22.0,93.0,40.8,107.0
19303479,1,22,182.0,84.0,29.0,114.0,41.0,200.0
10699201,0,74,158.0,59.0,10.0,93.0,39.6,56.0
15283313,0,70,154.0,59.0,10.0,88.0,40.0,50.0
16324247,0,26,182.0,80.0,21.0,96.0,40.5,100.0
14277710,1,44,184.0,86.0,25.0,114.0,40.8,200.0
10888188,1,61,183.0,86.0,1.0,81.0,38.3,4.0
13379795,0,68,157.0,57.0,13.0,92.0,40.1,70.0
17181524,0,61,176.0,70.0,20.0,104.0,40.5,127.0
15988442,1,63,179.0,80.0,25.0,108.0,40.8,197.0
19538533,0,54,171.0,66.0,20.0,98.0,40.1,113.0
14591877,0,54,169.0,66.0,3.0,80.0,38.9,11.0
14274480,0,47,155.0,55.0,16.0,93.0,40.5,82.0
16818429,1,33,184.0,86.0,8.0,86.0,39.9,26.0
17476522,0,24,171.0,66.0,24.0,105.0,40.6,141.0
16369885,1,24,195.0,98.0,20.0,96.0,40.6,92.0
17816292,1,48,152.0,59.0,2.0,79.0,38.0,5.0
15995398,1,35,193.0,93.0,10.0,83.0,39.7,30.0
17615432,1,21,168.0,71.0,3.0,78.0,38.5,3.0
10146087,0,21,179.0,73.0,9.0,90.0,39.6,37.0
17967445,0,22,158.0,62.0,25.0,105.0,40.6,147.0
19670291,0,69,174.0,69.0,2.0,80.0,38.1,8.0
10580576,1,53,191.0,101.0,21.0,106.0,40.7,159.0
15854213,0,68,155.0,58.0,15.0,100.0,40.3,93.0
11138472,0,69,164.0,65.0,23.0,113.0,40.4,173.0
18276801,1,28,198.0,101.0,19.0,95.0,40.6,89.0
13823902,1,70,188.0,89.0,7.0,82.0,39.3,31.0
19222133,0,36,170.0,64.0,9.0,84.0,39.6,35.0
13231909,0,77,177.0,80.0,16.0,98.0,40.6,94.0
12726617,0,32,167.0,63.0,9.0,99.0,39.7,49.0
12538968,0,62,185.0,77.0,13.0,84.0,40.4,54.0
10941668,0,64,151.0,56.0,20.0,97.0,40.4,117.0
12628985,1,45,175.0,79.0,27.0,104.0,40.6,173.0
17691320,1,45,158.0,61.0,20.0,97.0,40.7,99.0
17822027,0,22,177.0,71.0,10.0,93.0,39.8,45.0
13777657,1,45,169.0,69.0,22.0,113.0,40.6,166.0
19423359,0,66,174.0,69.0,28.0,111.0,40.9,202.0
14701930,1,31,182.0,83.0,20.0,101.0,40.9,107.0
11513205,0,57,163.0,68.0,29.0,109.0,40.7,199.0
11842710,1,53,192.0,93.0,5.0,90.0,39.1,25.0
12576313,0,22,179.0,67.0,8.0,77.0,39.5,23.0
12367125,1,67,192.0,92.0,24.0,108.0,40.7,200.0
16913504,0,27,168.0,64.0,2.0,76.0,38.2,6.0
19439155,1,57,178.0,83.0,2.0,79.0,38.1,7.0
16137644,0,49,168.0,68.0,20.0,99.0,40.6,113.0
11622081,0,39,168.0,63.0,29.0,108.0,40.7,188.0
17374074,1,47,165.0,72.0,20.0,96.0,40.3,103.0
19096890,1,62,197.0,101.0,17.0,103.0,40.3,128.0
19628507,1,41,187.0,89.0,23.0,99.0,40.7,130.0
16918679,0,34,144.0,50.0,7.0,83.0,39.3,27.0
11194130,0,40,163.0,62.0,27.0,111.0,41.2,185.0
18863486,0,55,155.0,57.0,11.0,92.0,39.8,57.0
11754581,1,44,189.0,88.0,13.0,94.0,40.0,65.0
15161631,0,45,160.0,60.0,16.0,99.0,40.4,91.0
18735761,0,49,164.0,64.0,19.0,105.0,40.4,120.0
15878611,0,46,166.0,68.0,12.0,101.0,40.1,70.0
19249559,1,25,202.0,100.0,9.0,94.0,39.8,39.0
15469030,1,68,171.0,80.0,22.0,95.0,40.5,136.0
11157560,0,25,169.0,64.0,14.0,101.0,40.2,77.0
19576971,0,31,174.0,67.0,9.0,93.0,39.5,42.0
15048071,1,57,184.0,91.0,7.0,95.0,39.2,41.0
18707469,0,27,159.0,59.0,14.0,88.0,39.9,59.0
12598637,1,40,201.0,98.0,24.0,110.0,40.7,179.0
14342169,0,57,171.0,74.0,2.0,73.0,38.6,6.0
19208771,0,23,155.0,62.0,5.0,74.0,39.2,13.0
11790318,1,23,189.0,87.0,23.0,110.0,40.0,147.0
11756583,1,43,183.0,88.0,26.0,107.0,40.7,180.0
16417986,1,74,201.0,107.0,14.0,96.0,40.1,101.0
13065142,0,45,158.0,53.0,23.0,106.0,40.7,150.0
10481882,0,31,165.0,60.0,25.0,115.0,40.8,179.0
19521409,1,21,195.0,93.0,6.0,93.0,39.2,23.0
15862346,1,50,190.0,96.0,3.0,80.0,38.3,10.0
12234447,1,39,175.0,74.0,9.0,93.0,39.5,39.0
14624633,1,57,169.0,81.0,30.0,112.0,40.9,247.0
17074274,0,26,159.0,53.0,19.0,92.0,40.5,89.0
17636190,1,34,181.0,83.0,25.0,102.0,40.9,141.0
14345479,0,55,160.0,62.0,4.0,87.0,39.1,18.0
11772472,0,52,171.0,67.0,15.0,89.0,40.6,70.0
19087162,1,21,188.0,90.0,29.0,110.0,40.8,185.0
15875055,0,20,136.0,45.0,11.0,94.0,40.1,54.0
10939512,0,79,152.0,60.0,29.0,107.0,40.8,207.0
13616455,1,21,189.0,91.0,27.0,114.0,41.0,189.0
19118405,1,50,171.0,74.0,2.0,82.0,38.1,6.0
10503799,0,29,180.0,76.0,12.0,97.0,39.9,60.0
16572590,1,22,194.0,92.0,6.0,92.0,39.0,23.0
17336010,0,28,158.0,60.0,27.0,113.0,40.8,186.0
15483091,1,38,188.0,93.0,28.0,104.0,40.9,178.0
10006441,1,23,169.0,73.0,25.0,102.0,40.7,122.0
13075455,0,68,159.0,68.0,24.0,108.0,40.5,166.0
17564519,1,79,176.0,86.0,20.0,102.0,40.1,158.0
18789619,0,35,182.0,70.0,2.0,83.0,38.4,7.0
15444304,1,67,201.0,96.0,18.0,105.0,40.5,143.0
13122354,0,21,156.0,52.0,12.0,82.0,39.8,43.0
10692173,0,44,143.0,49.0,17.0,92.0,40.2,86.0
12890276,0,43,175.0,72.0,23.0,100.0,40.7,128.0
14339451,1,21,186.0,79.0,29.0,111.0,41.0,182.0
16626118,0,32,170.0,70.0,10.0,98.0,39.7,52.0
17268858,1,79,179.0,91.0,27.0,107.0,40.4,236.0
